Site,Case,DBH,DSoB,DSuB,BT_base,Log1,Log2,Log3,Log4,Log5,Log6,Log7,LogTotal,Wood1,Wood2,Wood3,Wood4,Wood5,Wood6,Wood7,WoodTotal,Num_of_segs,Length,DBH_class,log_segment,log_weight
CP,T10,20,22,20,2,66.2,39.4,31.7,25.2,18.8,12.6,5.9,199.8,54.9,35.5,26.8,21,15.2,9.5,3.9,166.8,7,1706.6,Large,Log5,18.8
CP,T11,16,20.5,18.5,2,60,45.4,36.5,28.5,14.4,11.7,9,205.5,53.1,40.1,31.9,24.7,16.8,9.7,6.8,183.1,7,1706.6,Large,Log5,14.4
CP,T12,15,20,18,2,58.3,45.4,37.4,30.1,22.4,14.6,7.4,215.6,52.1,41,33.3,26.4,19.4,12.4,5.9,190.5,7,1706.6,Medium,Log5,22.4
CP,T13,16,18.7,17,1.7,54.2,40.7,34.1,29,21.9,16.1,8.9,204.9,48.4,36.8,30.7,26,19.7,13.6,7.4,182.6,7,1706.6,Large,Log5,21.9
CP,T14,16,32,28,4,66.3,46.7,40.9,32.3,24.9,17.3,9.5,237.9,58.5,41.9,36.7,28.7,21.7,14.6,7,209.1,7,1706.6,Large,Log5,24.9
CP,T15,22,24,22,2,81.1,55.7,44,37.9,29.6,19.4,12,284.7,69.5,48.1,37.7,32.2,24.8,16.9,10.4,239.6,7,1706.6,Large,Log5,29.6
CP,T16,15,22,20,2,45,35,29,25,15,11.5,8,168.5,37,30,24,22,17,10.5,6,146.5,7,1706.6,Medium,Log5,15
CP,T17,10,18,16,2,42,37,30,28,22,18,0,177,38,32.5,27,22,16,19,0,154.5,6,1462.8,Small,Log5,22
CP,T18,13,19.5,17,2.5,57,44,36.5,32,28,17,11.5,226,50,40,30.5,29.5,27,12.5,7,196.5,7,1706.6,Medium,Log5,28
CP,T19,13,18.1,16,2.1,45,35.4,26,18.5,13.5,7,0,145.4,36,28.5,19,15,9.5,5.5,0,113.5,7,1706.6,Medium,Log5,13.5
CP,T20,13.5,19,17,2,57,49.5,39,26,15,11.5,9.5,207.5,51,46.5,33,21.5,11,9,0,172,6,1462.8,Medium,Log5,15
CP,T21,13.2,19,17,2,59.5,42,36,23,16,9.1,5,190.6,49,31,19,16,17,7,3,142,7,1706.6,Medium,Log5,16
CP,T22,18,23,21,2,70,47.1,38.6,30,22.1,15.5,7.8,231.1,60.7,42.2,34.2,26.5,19.7,12.5,6.5,202.3,7,1706.6,Large,Log5,22.1
CP,T23,15.5,14,12,2,59,33,29,21,18,10,1,171,49,29,21,19,12,7,0.75,137.75,7,1706.6,Large,Log5,18
CP,T24,16,21,19,2,56,46,36,29,23,17,10,217,53.4,40,33.6,26.2,19.3,12.6,5.7,190.8,7,1706.6,Large,Log5,23
CP,T25,13.2,20,17,3,56,49,41,36,28,12,0,222,49.5,43,36.5,26.4,19,0,0,174.4,5,1219,Medium,Log5,28
FR,T27,13.5,29,27,2,42,26,18,16,11,6,0,119,35.9,22,17,13.2,8.9,4.5,0,101.5,6,1462.8,Medium,Log5,11
FR,T32,15.5,20.2,18.4,1.8,23.2,18.7,15.2,8.2,5.3,2,0,72.6,19.9,17,12.7,7,4.1,1.6,0,62.3,6,1462.8,Large,Log5,5.3
FR,T33,10,15,13.5,1.5,20.8,15.1,9.9,6.4,2.4,0,0,54.6,16.6,11.6,7.7,5.2,2.2,0,0,43.3,5,1219,Small,Log5,2.4
FR,T40,6,11,10,1,14.2,9.9,6.9,4.6,1.7,1.6,0,38.9,11.1,7.8,5.4,3.3,1.1,1,0,29.7,6,1462.8,Small,Log5,1.7
FR,T41,10,17,15,2,18.8,12,9.5,6.3,3.3,9,0,49.9,14.7,9.2,4,2.5,0.6,0,0,31,5,1219,Small,Log5,3.3
FR,T44,11.5,18,17.2,0.8,27.8,17.1,13.2,10.3,6.7,2.5,0,77.6,21.9,14.4,10.8,8,4.8,1.8,0,61.7,6,1462.8,Medium,Log5,6.7
FR,T45,17,22,20.5,1.5,54.4,35.7,28,20.8,14.5,11,3.6,168,48.9,30.5,21.8,18.4,12.4,7.3,2.5,141.8,7,1706.6,Large,Log5,14.5
CP,T48,11,15,14,1,25,18,13,10,5,0,0,71,21,14,10.5,7,4,0,0,56.5,6,1462.8,Medium,Log5,5
CP,T50,12.5,15,14,1,33,23,19,14,9,5,1,104,29,21,16,12,8,4,1,91,7,1706.6,Medium,Log5,9
CP,T51,12.5,17.5,16,1.5,36,24,20,16,11,7,2,116,30,21,17,13,9,5,2,97,7,1706.6,Medium,Log5,11
CP,T1,20,30.5,29,1.5,72.7,46.3,39.3,30.6,23.9,15.7,9.5,238,61.5,40.4,35.5,25.9,19.9,12.5,7,202.7,7,1706.6,Large,Log6,15.7
CP,T2,16,24,22,2,69.9,48.4,34.8,27.4,19.9,13.4,6,219.8,50,35.4,29.8,23,16.4,10.3,5.3,170.2,7,1706.6,Large,Log6,13.4
CP,T3,17,22,20,2,62,44,36,30,22,16,9,219,59,36,30,23,19,11,8,186,7,1706.6,Large,Log6,16
CP,T4,15,23,20,3,57,42,35,30,25,19,12,220,49,34,30,27,20,15,10,185,7,1706.6,Medium,Log6,19
CP,T5,17,20,18,2,53,49,36,30,25,16,11,220,50,46,30,28,19,13,9,195,7,1706.6,Large,Log6,16
CP,T6,28,26,23,3,88,53,47,46,34,23,15,306,73,50,40,33,29,20,12,257,7,1706.6,Large,Log6,23
CP,T8,15,18.5,17,1.5,57,43,33,29,21,14,8,205,50,39,31,25,19,11,4,179,7,1706.6,Medium,Log6,14
CP,T9,16,21,19.2,1.8,59.4,38,31.2,24.4,19.9,12.4,6.8,192.1,50.8,34.8,26.6,20.6,15.3,9.5,5.1,162.7,7,1706.6,Large,Log6,12.4
CP,T10,20,22,20,2,66.2,39.4,31.7,25.2,18.8,12.6,5.9,199.8,54.9,35.5,26.8,21,15.2,9.5,3.9,166.8,7,1706.6,Large,Log6,12.6
CP,T11,16,20.5,18.5,2,60,45.4,36.5,28.5,14.4,11.7,9,205.5,53.1,40.1,31.9,24.7,16.8,9.7,6.8,183.1,7,1706.6,Large,Log6,11.7
CP,T12,15,20,18,2,58.3,45.4,37.4,30.1,22.4,14.6,7.4,215.6,52.1,41,33.3,26.4,19.4,12.4,5.9,190.5,7,1706.6,Medium,Log6,14.6
CP,T13,16,18.7,17,1.7,54.2,40.7,34.1,29,21.9,16.1,8.9,204.9,48.4,36.8,30.7,26,19.7,13.6,7.4,182.6,7,1706.6,Large,Log6,16.1
CP,T14,16,32,28,4,66.3,46.7,40.9,32.3,24.9,17.3,9.5,237.9,58.5,41.9,36.7,28.7,21.7,14.6,7,209.1,7,1706.6,Large,Log6,17.3
CP,T15,22,24,22,2,81.1,55.7,44,37.9,29.6,19.4,12,284.7,69.5,48.1,37.7,32.2,24.8,16.9,10.4,239.6,7,1706.6,Large,Log6,19.4
CP,T16,15,22,20,2,45,35,29,25,15,11.5,8,168.5,37,30,24,22,17,10.5,6,146.5,7,1706.6,Medium,Log6,11.5
CP,T17,10,18,16,2,42,37,30,28,22,18,0,177,38,32.5,27,22,16,19,0,154.5,6,1462.8,Small,Log6,18
CP,T18,13,19.5,17,2.5,57,44,36.5,32,28,17,11.5,226,50,40,30.5,29.5,27,12.5,7,196.5,7,1706.6,Medium,Log6,17
CP,T19,13,18.1,16,2.1,45,35.4,26,18.5,13.5,7,0,145.4,36,28.5,19,15,9.5,5.5,0,113.5,7,1706.6,Medium,Log6,7
CP,T20,13.5,19,17,2,57,49.5,39,26,15,11.5,9.5,207.5,51,46.5,33,21.5,11,9,0,172,6,1462.8,Medium,Log6,11.5
CP,T21,13.2,19,17,2,59.5,42,36,23,16,9.1,5,190.6,49,31,19,16,17,7,3,142,7,1706.6,Medium,Log6,9.1
CP,T22,18,23,21,2,70,47.1,38.6,30,22.1,15.5,7.8,231.1,60.7,42.2,34.2,26.5,19.7,12.5,6.5,202.3,7,1706.6,Large,Log6,15.5
CP,T23,15.5,14,12,2,59,33,29,21,18,10,1,171,49,29,21,19,12,7,0.75,137.75,7,1706.6,Large,Log6,10
CP,T24,16,21,19,2,56,46,36,29,23,17,10,217,53.4,40,33.6,26.2,19.3,12.6,5.7,190.8,7,1706.6,Large,Log6,17
CP,T25,13.2,20,17,3,56,49,41,36,28,12,0,222,49.5,43,36.5,26.4,19,0,0,174.4,5,1219,Medium,Log6,12
FR,T27,13.5,29,27,2,42,26,18,16,11,6,0,119,35.9,22,17,13.2,8.9,4.5,0,101.5,6,1462.8,Medium,Log6,6
FR,T32,15.5,20.2,18.4,1.8,23.2,18.7,15.2,8.2,5.3,2,0,72.6,19.9,17,12.7,7,4.1,1.6,0,62.3,6,1462.8,Large,Log6,2
FR,T40,6,11,10,1,14.2,9.9,6.9,4.6,1.7,1.6,0,38.9,11.1,7.8,5.4,3.3,1.1,1,0,29.7,6,1462.8,Small,Log6,1.6
FR,T41,10,17,15,2,18.8,12,9.5,6.3,3.3,9,0,49.9,14.7,9.2,4,2.5,0.6,0,0,31,5,1219,Small,Log6,9
FR,T44,11.5,18,17.2,0.8,27.8,17.1,13.2,10.3,6.7,2.5,0,77.6,21.9,14.4,10.8,8,4.8,1.8,0,61.7,6,1462.8,Medium,Log6,2.5
FR,T45,17,22,20.5,1.5,54.4,35.7,28,20.8,14.5,11,3.6,168,48.9,30.5,21.8,18.4,12.4,7.3,2.5,141.8,7,1706.6,Large,Log6,11
CP,T50,12.5,15,14,1,33,23,19,14,9,5,1,104,29,21,16,12,8,4,1,91,7,1706.6,Medium,Log6,5
CP,T51,12.5,17.5,16,1.5,36,24,20,16,11,7,2,116,30,21,17,13,9,5,2,97,7,1706.6,Medium,Log6,7
CP,T1,20,30.5,29,1.5,72.7,46.3,39.3,30.6,23.9,15.7,9.5,238,61.5,40.4,35.5,25.9,19.9,12.5,7,202.7,7,1706.6,Large,Log7,9.5
CP,T2,16,24,22,2,69.9,48.4,34.8,27.4,19.9,13.4,6,219.8,50,35.4,29.8,23,16.4,10.3,5.3,170.2,7,1706.6,Large,Log7,6
CP,T3,17,22,20,2,62,44,36,30,22,16,9,219,59,36,30,23,19,11,8,186,7,1706.6,Large,Log7,9
CP,T4,15,23,20,3,57,42,35,30,25,19,12,220,49,34,30,27,20,15,10,185,7,1706.6,Medium,Log7,12
CP,T5,17,20,18,2,53,49,36,30,25,16,11,220,50,46,30,28,19,13,9,195,7,1706.6,Large,Log7,11
CP,T6,28,26,23,3,88,53,47,46,34,23,15,306,73,50,40,33,29,20,12,257,7,1706.6,Large,Log7,15
CP,T8,15,18.5,17,1.5,57,43,33,29,21,14,8,205,50,39,31,25,19,11,4,179,7,1706.6,Medium,Log7,8
CP,T9,16,21,19.2,1.8,59.4,38,31.2,24.4,19.9,12.4,6.8,192.1,50.8,34.8,26.6,20.6,15.3,9.5,5.1,162.7,7,1706.6,Large,Log7,6.8
CP,T10,20,22,20,2,66.2,39.4,31.7,25.2,18.8,12.6,5.9,199.8,54.9,35.5,26.8,21,15.2,9.5,3.9,166.8,7,1706.6,Large,Log7,5.9
CP,T11,16,20.5,18.5,2,60,45.4,36.5,28.5,14.4,11.7,9,205.5,53.1,40.1,31.9,24.7,16.8,9.7,6.8,183.1,7,1706.6,Large,Log7,9
CP,T12,15,20,18,2,58.3,45.4,37.4,30.1,22.4,14.6,7.4,215.6,52.1,41,33.3,26.4,19.4,12.4,5.9,190.5,7,1706.6,Medium,Log7,7.4
CP,T13,16,18.7,17,1.7,54.2,40.7,34.1,29,21.9,16.1,8.9,204.9,48.4,36.8,30.7,26,19.7,13.6,7.4,182.6,7,1706.6,Large,Log7,8.9
CP,T14,16,32,28,4,66.3,46.7,40.9,32.3,24.9,17.3,9.5,237.9,58.5,41.9,36.7,28.7,21.7,14.6,7,209.1,7,1706.6,Large,Log7,9.5
CP,T15,22,24,22,2,81.1,55.7,44,37.9,29.6,19.4,12,284.7,69.5,48.1,37.7,32.2,24.8,16.9,10.4,239.6,7,1706.6,Large,Log7,12
CP,T16,15,22,20,2,45,35,29,25,15,11.5,8,168.5,37,30,24,22,17,10.5,6,146.5,7,1706.6,Medium,Log7,8
CP,T18,13,19.5,17,2.5,57,44,36.5,32,28,17,11.5,226,50,40,30.5,29.5,27,12.5,7,196.5,7,1706.6,Medium,Log7,11.5
CP,T20,13.5,19,17,2,57,49.5,39,26,15,11.5,9.5,207.5,51,46.5,33,21.5,11,9,0,172,6,1462.8,Medium,Log7,9.5
CP,T21,13.2,19,17,2,59.5,42,36,23,16,9.1,5,190.6,49,31,19,16,17,7,3,142,7,1706.6,Medium,Log7,5
CP,T22,18,23,21,2,70,47.1,38.6,30,22.1,15.5,7.8,231.1,60.7,42.2,34.2,26.5,19.7,12.5,6.5,202.3,7,1706.6,Large,Log7,7.8
CP,T23,15.5,14,12,2,59,33,29,21,18,10,1,171,49,29,21,19,12,7,0.75,137.75,7,1706.6,Large,Log7,1
CP,T24,16,21,19,2,56,46,36,29,23,17,10,217,53.4,40,33.6,26.2,19.3,12.6,5.7,190.8,7,1706.6,Large,Log7,10
FR,T45,17,22,20.5,1.5,54.4,35.7,28,20.8,14.5,11,3.6,168,48.9,30.5,21.8,18.4,12.4,7.3,2.5,141.8,7,1706.6,Large,Log7,3.6
CP,T50,12.5,15,14,1,33,23,19,14,9,5,1,104,29,21,16,12,8,4,1,91,7,1706.6,Medium,Log7,1
CP,T51,12.5,17.5,16,1.5,36,24,20,16,11,7,2,116,30,21,17,13,9,5,2,97,7,1706.6,Medium,Log7,2
